Maturity>>>,1 Month,3 Month,6 Month,1 Year,2 Years,3 Years,5 Years,7 Years,10 Years,20 Years,30 Years
Apr-53,,,,2.36,,2.51,2.62,,2.83,3.08,
May-53,,,,2.48,,2.72,2.87,,3.05,3.18,
Jun-53,,,,2.45,,2.74,2.94,,3.11,3.21,
Jul-53,,,,2.38,,2.62,2.75,,2.93,3.12,
Aug-53,,,,2.28,,2.58,2.80,,2.95,3.10,
Sep-53,,,,2.20,,2.56,2.71,,2.87,3.07,
Oct-53,,,,1.79,,2.23,2.43,,2.66,2.95,
Nov-53,,,,1.67,,2.20,2.42,,2.68,2.95,
Dec-53,,,,1.66,,2.07,2.32,,2.59,2.89,
Jan-54,,,,1.41,,1.89,2.17,,2.48,2.80,
Feb-54,,,,1.14,,1.63,2.04,,2.47,2.72,
Mar-54,,,,1.13,,1.59,1.93,,2.37,2.61,
Apr-54,,,,0.96,,1.54,1.87,,2.29,2.60,
May-54,,,,0.85,,1.56,1.92,,2.37,2.66,
Jun-54,,,,0.82,,1.53,1.92,,2.38,2.64,
Jul-54,,,,0.84,,1.47,1.85,,2.30,2.57,
Aug-54,,,,0.88,,1.49,1.90,,2.36,2.58,
Sep-54,,,,1.03,,1.60,1.96,,2.38,2.60,
Oct-54,,,,1.17,,1.72,2.02,,2.43,2.61,
Nov-54,,,,1.14,,1.75,2.09,,2.48,2.65,
Dec-54,,,,1.21,,1.81,2.16,,2.51,2.67,
Jan-55,,,,1.39,,1.99,2.32,,2.61,2.75,
Feb-55,,,,1.57,,2.12,2.38,,2.65,2.83,
Mar-55,,,,1.59,,2.26,2.48,,2.68,2.84,
Apr-55,,,,1.75,,2.37,2.55,,2.75,2.85,
May-55,,,,1.90,,2.37,2.56,,2.76,2.87,
Jun-55,,,,1.91,,2.39,2.59,,2.78,2.86,
Jul-55,,,,2.02,,2.51,2.72,,2.90,2.94,
Aug-55,,,,2.37,,2.72,2.86,,2.97,3.01,
Sep-55,,,,2.36,,2.69,2.85,,2.97,3.00,
Oct-55,,,,2.39,,2.62,2.76,,2.88,2.93,
Nov-55,,,,2.48,,2.73,2.81,,2.89,2.93,
Dec-55,,,,2.73,,2.88,2.93,,2.96,2.98,
Jan-56,,,,2.58,,2.78,2.84,,2.90,2.94,
Feb-56,,,,2.49,,2.67,2.74,,2.84,2.91,
Mar-56,,,,2.61,,2.89,2.93,,2.96,2.99,
Apr-56,,,,2.92,,3.19,3.20,,3.18,3.14,
May-56,,,,2.94,,3.08,3.08,,3.07,3.06,
Jun-56,,,,2.74,,2.95,2.97,,3.00,3.00,
Jul-56,,,,2.76,,3.06,3.12,,3.11,3.08,
Aug-56,,,,3.10,,3.39,3.41,,3.33,3.22,
Sep-56,,,,3.35,,3.50,3.47,,3.38,3.28,
Oct-56,,,,3.28,,3.40,3.40,,3.34,3.26,
Nov-56,,,,3.44,,3.57,3.56,,3.49,3.37,
Dec-56,,,,3.68,,3.76,3.70,,3.59,3.45,
Jan-57,,,,3.37,,3.46,3.47,,3.46,3.41,
Feb-57,,,,3.38,,3.42,3.39,,3.34,3.30,
Mar-57,,,,3.42,,3.47,3.46,,3.41,3.32,
Apr-57,,,,3.49,,3.53,3.53,,3.48,3.40,
May-57,,,,3.48,,3.61,3.64,,3.60,3.49,
Jun-57,,,,3.65,,3.80,3.83,,3.80,3.65,
Jul-57,,,,3.81,,3.96,4.00,,3.93,3.72,
